name,total
St. Michael's,263
Medical,137
St. Mary's,4
St. Therese,18
Horizon,13
ICI,177
St. Peter's,38
St. Paul's,11
STI,370
Mindanao Mission Academy,8
Lala High school,6
MSU,108
La Salle,104
Initao,8
St. Laurence,5
