name,total
mba,38
bsba,471
bsed,84
hm,320
maed,115
accountancy,61
nursing,300
bscs,18
bsce,24
hrm,4
civil,77
bsee,6
psych,120
abeng,37
special,7
bechildhood,8
abpol,19
bstm,40
techonology,161
