name,pop,male,female,y1,y2,y3,y4,roman,islam,protestant,bornagain,baptist,iglesia,sda,challiance,mormon,evang,jehova,ifi,mich,medi,mary,therese,horizon,ici,peter,paul,sti,mission,lala,mindanao,msu,salle,initao,academy,high school,laurence,university,iligan,mba,bsba,bsed,hm,maed,accountancy,nursing,bscs,bsce,hrm,civil,bsee,psych,abeng,special,bechildhood,abpol,bstm
Tubod,237,101,136,87,60,49,38,153,51,2,13,5,7,3,0,2,0,0,1,25,16,0,4,1,13,5,1,43,1,0,10,14,9,0,16,49,0,15,101,6,47,7,25,12,6,40,2,2,0,9,2,16,3,1,1,3,0
Bagong Silang,54,19,35,21,11,11,11,42,7,0,2,0,0,3,0,0,0,0,0,12,3,0,0,0,6,0,0,8,0,0,2,2,1,0,2,10,0,1,16,0,7,1,7,3,2,5,0,0,0,3,0,4,0,0,0,1,6
Del Carmen,56,23,33,23,16,14,3,32,15,2,5,0,1,0,0,1,0,0,0,7,13,0,0,1,3,0,0,6,0,1,2,5,6,0,9,4,0,3,21,1,13,1,5,2,4,9,0,3,0,2,0,1,2,0,0,4,2
Dulag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogongon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,39,18,21,20,8,7,4,32,5,1,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,7,1,0,5,3,4,0,8,5,0,8,11,0,6,1,5,1,1,7,0,0,0,2,0,3,0,0,0,0,3
Santiago,57,20,37,27,9,12,9,37,9,4,3,0,2,1,0,0,0,1,0,12,2,0,0,0,5,1,0,8,0,0,0,5,1,0,1,10,0,0,15,1,13,5,9,7,2,7,0,0,0,2,0,4,1,0,0,0,0
Santo Rosario,39,15,24,17,12,4,6,19,12,1,2,1,2,2,0,0,0,0,0,3,4,0,2,0,2,0,0,6,0,0,0,3,4,0,8,6,0,1,18,3,7,1,3,4,3,6,0,0,0,1,0,2,3,0,0,0,0
Tibanga,59,19,40,28,16,7,8,47,5,0,3,1,3,0,0,0,0,0,0,5,3,0,0,0,11,2,0,14,0,2,3,2,3,0,3,10,0,4,24,1,10,3,12,5,2,10,1,1,0,0,0,4,1,0,0,0,1
Acmac,47,18,29,16,11,7,13,41,0,0,2,0,2,2,0,0,0,0,0,3,1,0,0,0,3,0,0,5,0,0,3,0,0,1,0,21,0,3,17,0,12,1,15,2,4,1,1,0,0,3,0,1,1,0,0,0,2
Santa Filomena,32,16,16,4,11,8,9,30,0,0,0,1,0,1,0,0,0,0,0,7,2,0,0,0,4,0,0,6,0,0,2,0,0,0,0,9,1,2,18,0,7,0,6,0,1,3,0,0,0,0,0,2,0,0,0,2,0
Hindang,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalilangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luinab,54,25,29,26,10,10,8,34,13,0,3,0,1,2,0,0,0,1,0,5,5,0,0,0,6,1,2,10,0,0,2,5,1,0,1,9,0,3,22,3,10,2,5,4,0,7,0,0,0,2,1,3,1,0,0,0,0
San Roque,28,9,19,15,6,2,5,24,1,0,2,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,2,0,0,2,0,1,1,1,11,0,3,13,0,6,0,4,1,0,6,1,0,0,0,0,2,0,1,0,0,0
Ubaldo Laya,48,21,27,18,11,13,5,40,3,1,4,0,0,0,0,0,0,0,0,6,6,0,1,3,3,0,1,8,0,0,1,3,2,0,3,9,0,1,22,0,11,0,7,3,1,5,1,0,0,3,1,4,3,0,0,0,0
Upper Hinaplanon,19,10,9,8,6,4,1,7,11,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2,1,0,1,4,0,2,5,0,3,0,4,1,0,3,1,1,0,0,0,1,0,0,0,0,1
Villa Verde,53,21,32,19,15,11,8,38,7,1,4,1,1,1,0,0,0,0,0,9,3,1,0,0,3,2,1,6,0,0,0,2,7,0,7,10,0,1,18,1,15,2,10,1,2,7,1,0,0,1,0,3,1,0,0,0,1
Lanipao,3,1,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
